product_handle,state,rating,title,author,location,body,reply,created_at,replied_at
resist-super-light-wrinkle-defense-spf-30,published,5,"Very good, even for guys",Austin,,"I am a 30 year guy, who has acne prone and combination skin. 
this product turns very impressive, on the oil T zone and its matte finish is the best. I was original a bit skeptical on the tilt, which used to replace the pale finish in otherwise normal physical sunscreen. I was afraid it might give me a wired look as a guy. But it turns out just fine on my Asian skin. I can't see it at all after absorption. Need to mention, I could occasionally wipe out tilt after heavy sweat. 
I also use this product on eye area. Unlike ladies, I don't have other mark-ups which may contain SPF. And I am lazy to put on other SPF product area eyes. So I just put this on. So far, it works well. No discomfort thus far. 

Generally, I would recommend to someone with oily or combination skin type. Worth a try. ",,2017-11-25 12:04:57 UTC,
resist-daily-pore-refining-treatment-with-2-bha,published,5,"Very good, None Sticky",Austin,,"I have tried 2 BHA from PC so far. This bottle, I feel, is better than SKIN PERFECTING 2% BHA (SALICYLIC ACID) LIQUID EXFOLIATOR. 
It works well, but doesn't have the sticky feeling (even liquid type) of the aforementioned. Dries quickly. 
If you compare on the description careful even, you can see there are not many difference at all for these 2 products  ------ aka, the functions are the same, just some minor ingredients.  
88ml is okay to take on airplanes. But it is much more expensive on the dollar/ml basis. 

 ",,2017-11-25 12:11:17 UTC,
skin-perfecting-2-bha-liquid-exfoliator,published,3,"Sticky feeling, dries slowly. ",Austin,,"I have tried this product with another BHA on PC so far ---- RESIST DAILY PORE-REFINING TREATMENT 2% BHA (SALICYLIC ACID).

compared to the other, this product is sticky(even liquid type) on my combination skin. It take at least 3-5 mins to dry - whereas the other BHA aforementioned take around max 1 min  (given same applied amount). The sticky feeling and long time to dry cause a bit inconvenience, particularly in the morning  ---- many follow steps after this BHA, where I don't have much time to spare. Therefore, I totally skip this BHA in the morning. 

Good part - it is much cheaper on dollar/ml basis. I guess I will have to stick with this product, considering how expensive PC products generally are. ",,2017-11-25 12:20:29 UTC,
resist-weightless-toner,published,4,Best toner so far,Sing Yee,,"Gentle and quick absorbing with great restoring ingredient, it prevents my pores from getting any bigger after 8 months of using it. This is my second purchase and will further purchase it in future.",,2017-11-26 07:21:37 UTC,
skin-balancing-oil-reducing-cleanser,published,4,Overall a Good Cleanser,Sing Yee,,"not very effective in controlling excess oil production, but it is non drying, and it removes make up easily. ",,2017-11-26 07:32:27 UTC,
clear-pore-normalizing-cleanser,published,4,Great Cleanser,Sing Yee,,"works good in controlling excess oil production, non drying and removes make up easily.",,2017-11-26 07:51:51 UTC,
skin-perfecting-2-bha-liquid-exfoliator,published,5,best i've tried,May,,"This is no doubt one of the best ever products that Paula's Choice sells. Not only does this give you a mild glow, it also dries fast and after using it, you can feel that your face has become noticeably smoother, both visually and also when you touch it. GET IT!",,2017-11-26 15:45:30 UTC,
resist-whitening-essence,published,5,Gold Standard for tackling pigmentation.,Douglas,,Contains Arbutin which has always been the gold standard for lightening pigmentation. Non-sticky and rapidly absorbed upon application. ,,2017-11-30 16:17:30 UTC,
pc4men-soothe-smooth,published,5,Non-irritable,Douglas,,"Unlike other BHA products which I have used before, it gives minimum tingling sensation or discomfort upon application",,2017-11-30 16:21:39 UTC,
resist-essential-kit-wrinkles-breakouts,published,5,Really good,Lynn,,"Really enjoyed this bundle. I have combination skin. Overall, my skin feels more balanced. So far i feel my skin no longer has dry patches around cheeks but super oily forehead and nose. The product that i especially love is the BHA Exfoliant. I think it had greatly helped resurface some enlarged pores I've been having problems with. 

Great buy and I hope it comes back in stocks soon!",,2017-12-01 03:00:49 UTC,
skin-balancing-invisible-finish-moisture-gel,published,5,Best moisturizer for oily skin,Yvonne,,I have been searching for the best moisturizer for oily skin until I met this product. This is non-sticky at all and at the meantime it gives my skin hydrated. ,,2017-12-03 04:52:20 UTC,
clear-regular-strength-acne-trial-kit,published,3,Handy Travel Pack,Ling,,"My first time trying Paula's Choice. The acne cleanser was calm and soothing, no stings or burning feeling for my sensitive skin. 2% exfoliator may be a little too strong for my skin hence I may change to 1% BHA calm sensitive. The blemish treatment dries acne the very next day, pretty effective. ",,2017-12-04 04:08:43 UTC,
calm-redness-relief-cleanser,published,3,Not bad cleanser,Shyanne,,"Bought the trial sachets to try, overall it was not bad. Pretty gentle on the skin, does not dries or stings. One negative comment is the smell of it =/",,2017-12-04 04:15:28 UTC,
calm-redness-relief-toner-normal-to-oily,published,3,Calm Sensitive Toner,Shyanne,,Tried the sachets for trial. It was pretty calming and gentle for my sensitive skin. No burning sensation.,,2017-12-04 04:20:56 UTC,
resist-barrier-repair-moisturizer-with-retinol,published,4,Good Moisturizer,AB,,"After tried few moisturizer, I like this the most.",,2017-12-07 03:09:26 UTC,
resist-advanced-replenishing-toner,published,4,Like This,AB,,This toner is very moisture but not greasy. Like the feeling after apply it.,,2017-12-07 03:13:01 UTC,
resist-whitening-essence,published,4,Good for new spot ,AB,,"It is very effective in lighten newly formed brown spot but not freckles. Whoever want a overall whitening effect, must try this.",,2017-12-07 03:17:33 UTC,
calmness-relief-serum,published,3,Good,Hsjsvsb,,Good,,2017-12-10 01:45:06 UTC,
calm-spf-30-moisturizer-for-normal-to-dry-skin,published,3,Good,Hshsb,,Good,,2017-12-10 01:45:42 UTC,
skin-perfecting-2-bha-liquid-exfoliator,published,5,Life saviours! ,Dylan,,"In the past, I have break out every-now and then.. but when I came across this brand. It’s a totally life changer!!  It took for 1-2 months time to calm my acne down and now I am onto my next 3rd order!",,2017-12-10 17:50:35 UTC,
resist-daily-pore-refining-treatment-with-2-bha,published,5,VERY GOOD FOR CLOGGED PORES,Chelsea,,"I have been using this product for about 2 months I can clearly see the improvement on my skin. I used to have a lot of acnes underneath my skin, which were mostly due to clogged pores. This products really helps to clear the dirt stuck in the pores and make my skin looks much better.
However, it might cause a little bit of irritation on your skin when you try it for the first time. ",,2017-12-11 15:59:06 UTC,
skin-perfecting-2-bha-gel,published,5,Great product!,Jer,,Super light weight gel watery type texture that helped me control my hormonal acne and eczema issues. This makes my skin look brightened and evened out my skin tone. ,,2017-12-14 14:27:32 UTC,
resist-c15-super-booster,published,5,Lightened dark spots ,Jer,,This helped to lighten healed pimple spots that leave a dark brown mark quickly and effectively ,,2017-12-14 14:30:09 UTC,
resist-weightless-toner,published,5,Satisfy!,Yeelyn,,Light weight & easy to absorb. No any irritation at all. This is the best skin care I’ve ever use (I use together with others product from the same series) for my clogged pore skin which follow me so many years. Going to have the next bottle soon.,,2017-12-16 11:14:11 UTC,
resist-daily-pore-refining-treatment-with-2-bha,published,5,Satisfy,Yeelyn,,Use it on am & pm routine which give NO irritation & redness at all. Works really good on my clogged pores and now my skin looks clean & healthy too!,,2017-12-16 11:19:41 UTC,
resist-ultra-light-super-antioxidant-concentrate-serum,published,5,Satisfy,Yeelyn,,"Use together with the same range of toner, exfoliator & moisturiser. It’s easily absorb and leave no sticky on my face. ",,2017-12-16 11:25:46 UTC,
resist-anti-aging-clear-skin-hydrator,published,5,Satisfy,Yeelyn,,I like the air pump concept for this moisturiser which keep the whole bottle of moisturiser freshly. But don’t really like the smell of the moisturiser which smells like soy sauce. Overall it’s a good moist for my face to keep it moist for a day Long.,,2017-12-16 11:33:17 UTC,
skin-perfecting-2-bha-liquid-exfoliator,published,5,Best choice ,Alicia,,"Having found this from researching online, it's been a staple in my daily routine. Gone are the scrubs which gave the feeling that blackheads and whiteheads can be rid of through vigor. The 2% BHA has helped to control the monthly breakouts. Worked so well I got the hubby on board so now we can share some products from PC!",,2017-12-17 13:54:45 UTC,
skin-balancing-super-antioxidant-concentrate-serum,published,4,Occasional day boost,Alicia Lee,,"This went on oilier than expected, probably due to not shaking up before use. Better when mixed well. Feels rich and gives the skin a smooth base before day moisturiser, sunscreen, makeup. Haven't seen visible impact - will try to use it more often to gauge better.",,2017-12-17 14:00:08 UTC,
skin-balancing-oil-reducing-cleanser,published,4,Good enough ,Alicia Lee,,"Not drying, pretty balanced in terms of a creamier face wash. Doesn't remove waterproof makeup entirely with 1 wash, best used after makeup remover I think.",,2017-12-17 14:04:36 UTC,
resist-intensive-wrinkle-repair-retinol-serum,published,4,Good night serum,Alicia,,"While it can feel oily (described as silky), can  be managed with applying less then a moisturiser after to seal in the goodness. Seems to have done the job for me and the hubby in minimising lines. An easier try vs products with higher levels of retin A. We've gone through bottles of this. Glad you ship to MY now.",,2017-12-17 14:13:42 UTC,
skin-balancing-pore-reducing-toner,published,4,Good one,Alicia,,Which works to provide moisture and prep the skin a little before BHA. Seems to have helped with pores or maybe the niacinamide did the trick.,,2017-12-17 14:18:52 UTC,
clear-pore-normalizing-cleanser,published,3,"Cleans well, but dehydrating",offerin,,"This cleanser cleans well, but dries out my skin and leaves a tight feeling crying for moisture.",,2017-12-18 04:06:47 UTC,
extra-care-non-greasy-sunscreen-spf50,published,4,Good for outdoor activities,offerin,,"used for my trip to a beach destination, its non-greasy and good for oily skin.

Cost effective, lasted a long time",,2017-12-18 06:54:46 UTC,
resist-ultra-light-super-antioxidant-concentrate-serum,published,5,Great serum,offerin,,"This serum absorbs very fast, leaves a very soft skin next day, prolonged use helps in reducing appearance of pores.",,2017-12-18 07:07:20 UTC,
clear-regular-strength-daily-skin-clearing-treatment,published,2,Didnt work,offerin,,"increased breakouts, prefer the drugstore version for regular use.",,2017-12-18 07:12:33 UTC,
calmness-relief-serum,published,4,Good for oily sensitive skin,offerin,,"Gets absorbed very fast in the skin, not moisturising, helped in reducing/fading the redness.",,2017-12-18 07:14:51 UTC,
resist-foaming-cleanser,published,4,Good cleanser,offerin,,"Leaves  the skin feeling refreshed, and effectively removes make up, slightly drying if use too much.",,2017-12-18 07:25:29 UTC,
clear-ultra-light-daily-mattifying-fluid-spf30,published,4,Very light non greasy,offerin,,the sunscreen feels very light and gets absorbed in the skin very fast,,2017-12-18 07:37:34 UTC,
skin-balancing-oil-absorbing-mask,published,4,Good in absorbing moisture,offerin,,"helps in cleaning skin well, skin feels soft without tightening effect, tried the sample.",,2017-12-18 07:40:01 UTC,
skin-perfecting-2-bha-liquid-exfoliator,published,4,Good exfoliator,offerin,,"Helps to gently exfoliate, though its difficult to apply, gel version may be more appropriate",,2017-12-18 08:18:15 UTC,
resist-c15-super-booster,published,4,Glowing skin,offerin,,"Mixed with the resist serum, makes the skin glowing and shiny, non greasy absorbs easily",,2017-12-18 08:24:32 UTC,
shine-stopper-instant-matte-finish,published,4,Oil absorber,offerin,,"helped to absorb excess oil , good to offset the oily grease for oily skin.",,2017-12-18 08:26:35 UTC,
resist-vitamin-c-spot-treatment,published,3,not very effective,offerin,,couldn't see much difference in the dark spots.,,2017-12-18 08:29:00 UTC,
resist-whitening-essence,published,4,Good for removing dullness,offerin,,"the skin looks bright after application, tried the sample..need to try for longer to see long term effects",,2017-12-18 08:36:22 UTC,
anti-aging-trio,published,4,Great value!,hk,,"This bundle was extremely great value, saved up to $60! Hyaluronic acid booster is great; extremely hydrating but non-greasy. The liquid exfoliator is also wonderful in unclogging my pores and smoothing skin. I've only used my items for 2-3 days and already I can see a very obvious firming effect.",,2017-12-22 03:25:10 UTC,
resist-advanced-replenishing-toner,published,5,Moisturizing toner,Samantha Ng,,Love the texture! Very moisturizing.,,2017-12-24 10:11:17 UTC,
clinical-1-retinol-treatment,published,4,Renew,Samantha Ng,,Feel that my skin is reborn.. the dead skin peels off and the new is born..,,2017-12-24 10:12:42 UTC,
resist-bha-9,published,4,Maintenance,Samantha Ng,,abit if stingy feel. Skin gets flaky.. aft tabut skin feels smooth.,,2017-12-24 10:14:47 UTC,
skin-balancing-pore-reducing-toner,published,5,Good,Samantha,,It gave me a clean feeling and not dry.,,2017-12-24 10:18:22 UTC,
resist-daily-mattifying-fluid-spf50,published,5,Lightweight and virtually scent free,Anna,,My biggest gripe about sunscreens is the smell and that strange waxy residue on both my hands and face. A friend (a fan of PC) recommended I give this a try. A little goes a long way. Spreads rather smoothly. I’d say this is my HG sunscreen :),,2017-12-31 10:45:50 UTC,
resist-daily-pore-refining-treatment-with-2-bha,published,5,Starting out with acids,Anna ,,"Although it doesn’t create a tingly sensation or an overnight result, its great for day to day use. My pores have shown some improvement, and the texture of my skin looks clearer. It’s a great starter item for those trying out acids for the first time.

As with milder acids, don’t  forget to use sunscreen with this!",,2017-12-31 10:50:45 UTC,
skin-balancing-invisible-finish-moisture-gel,published,5,Versatile and hardworking,Anna,,"It’s so hard to find a moisturizer that promises to do the job as advertised, and not feel greasy and gross towards the end of a humid day. I’ve not experienced pilling with this, and it dries to a nice finish.",,2017-12-31 10:58:02 UTC,
resist-anti-aging-clear-skin-hydrator,published,5,Perfect for this climate,Anna,,"I tend to perspire a little too much, and my skin gets super oily towards the afternoon with usual moisturiser. And with indoor air con my skin gets dry. This addresses these issues without any extra fuss.",,2017-12-31 13:22:20 UTC,
resist-c15-super-booster,published,5,Tried the sample and it’s amazing,Anna,,Even with a few samples it has addressed my uneven skin tone and my skin being easily blemished by even a bit of sun. I used this after the bha 2% for maximum efficacy ,,2017-12-31 13:28:33 UTC,
skin-balancing-pore-reducing-toner,published,4,Effective toner,Kym,,"Dirt can be removed with this toner.

Also helps in minimizing pores too. 👍",,2018-01-05 13:48:20 UTC,
skin-balancing-super-antioxidant-concentrate-serum,published,5,Wonder serum,Kym,,Face feels very velvety and smooth after prolonged use. 👍👍👍,,2018-01-05 13:57:11 UTC,
clinical-ultra-rich-soothing-body-butter,published,5,Very creamy,4n1g3r,,"I have a very dry patch of skin that itches and is stripped of all moisture right after a shower. This product instantly saves it without me having to apply large amounts of it. 

In fact I even brought it with me on holiday because overseas the air is dry.",,2018-01-05 23:19:59 UTC,
moisture-boost-hydrating-treatment-cream,published,5,Nice texture,4n1g3r,,I only use this while on holiday because it's drier overseas. It's soothes skin.,,2018-01-05 23:30:18 UTC,
pc4men-face-wash,published,5,Good cleanser,HR,,It does what it is supposed to do. It removes the oil while never make my skin feel to tight. Good.,,2018-01-06 06:06:10 UTC,
resist-anti-aging-clear-skin-hydrator,spam,5,Great product,JW,,I'm onto my second bottle and it's doing a great job. It sits well under makeup and lasts all day.,,2018-01-09 16:27:41 UTC,
resist-10-niacinamide-booster,spam,4,Improvement after prolonged use,JW,,I'm onto my third bottle. I got this to deal with pores on my nose. I did not notice much difference after the first bottle but skin improved slowly but surely with daily use. ,,2018-01-09 16:36:44 UTC,
skin-balancing-oil-reducing-cleanser,published,5,Excellent Result,Cecilia,,"I am purchasing another one, after the first purchase last month.   It's a cleanser for the whole family, not only for yourself.   Excellent cleanser even for teenagers. ",,2018-01-14 05:03:34 UTC,
hydralight-healthy-skin-refreshing-toner,published,5,Light moisturising for off-day and lazy day,Cecilia,,"If you are the one who doesn't like the heavy feeling on the skin, applying this toner could be an option.  Buying one for my light day or no makeup day moisturizer.",,2018-01-14 05:07:01 UTC,
resist-bha-9,published,5,Should give more than 5 star rating,Cecilia ,,one of the best night care solution for aging skin.  loving it.   ,,2018-01-14 05:08:38 UTC,
resist-c15-super-booster,published,5,Must have skin care product,Cecilia,,Must apply item for AM and PM.   Skin's best food.   ,,2018-01-14 05:10:22 UTC,
resist-10-niacinamide-booster,published,5,Pampering my skin,Cecilia ,,It is going to be my daily skin care for t-zone.    I've already seen the result after a week.    It softens and minimizes my pore for sure.   ,,2018-01-14 05:14:05 UTC,
skin-recovery-daily-moisturizing-lotion-spf-30,published,5,one of the best AM moisturizer,cecilia,,I've been using Paula's Choice products recently and found all of my choices work great.  Deciding to try this product.   ,,2018-01-14 05:17:35 UTC,
pc4men-daytime-protect-spf30,published,5,Recommending  ,Danny,,"This product did what it said. Using it for 2 years now and still loving it. FYI, 60ml is good for 4-5 months if used daily.",,2018-01-15 13:14:20 UTC,
clear-extra-strength-daily-skin-clearing-treatment-with-5-benzoyl-peroxide,published,4,5% is really strong,JW,,"This works really well for acne but I notice after the acne is gone, a red spot is left where they were and they take awhile to fade. It might be that 5% is on the high side for my skin. Might be a good idea to go for 2.5% if you don't have a major acne problem.",,2018-01-15 15:52:46 UTC,
pc4men-nighttime-repair,published,5,Boyfriend loves it,JW,,Bought this for my boyfriend. At first he found it a bit pricey but now he likes it so much he's getting a second tube! Personally think it's worth the money because it's a well-rounded product with a whole bunch of other great ingredients in there that you won't find in other cheaper moisturisers. ,,2018-01-15 15:56:22 UTC,
power-couple-c15-5-aha,published,5,Power Couple Indeed,JW,,"I've been using the C15 super booster since forever and it's one of my favourites! However, iIt does yellow over time - wondering if it's because it oxidises? As for the daily smoothing treatment, I just started on it but I already love it. Will probably keep using it. I know there's no fragrance in there but it smells great.",,2018-01-15 16:02:16 UTC,
calm-redness-relief-toner-normal-to-dry,published,5,does what it claims,JW,,I used to get the occasional random red patches on my face as I've got sensitive skin. This got rid of the redness entirely and has been a constant in my skincare routine since.,,2018-01-15 16:05:23 UTC,
skin-perfecting-2-bha-liquid-exfoliator,published,4,Worth The Price,E,,"Smoothen skin gradually, a bit sticky in honest but I don't mind, definitely skip morning routine. ",,2018-01-16 01:45:07 UTC,
resist-10-niacinamide-booster,published,5,Amazing Result,E,,I use more than the instruction told every night(about 1 whole dropper) after another product: SKIN PERFECTING 2% BHA (SALICYLIC ACID) LIQUID EXFOLIATOR. The result amazed me on 1st day morning. Skin glowing and smooth like the peeled egg. ,,2018-01-16 01:52:28 UTC,
resist-super-light-wrinkle-defense-spf-30,published,4,Great for acne prone skin,SF,,This tinted sunscreen accurately blends in with my asian skin tone. Doesnt make my skin oily during the day.,,2018-01-21 10:05:40 UTC,
resist-intensive-wrinkle-repair-retinol-serum,published,2,Not for me,SF,,Feels sooo oily and heavy on my skin. Wont recommend for oily skin people to use it in the AM. Didnt see much difference in the fine lines under my eyes ,,2018-01-21 10:09:36 UTC,
resist-ultra-light-super-antioxidant-concentrate-serum,published,4,Perfect texture for daily use,SF,,"Love love love this serum’s texture. Super lightweight yet hydrating at the same time. As for the anti-aging properties, i didnt observe any changes. Even though this product feels good, i believe there are other cheaper alternatives out there that’s equally lightweight and hydrating. ",,2018-01-21 10:15:38 UTC,
skin-perfecting-2-bha-gel,published,4,Didnt work after awhile,SF,,"The first bottle was great. I only used it at night as it made my face shiny and sticky. 
However, the second bottle did not work for me anymore. I don’t know if my skin was immune to it or? 
Im using it on my bacne now. It’s okay... ",,2018-01-21 10:35:52 UTC,
skin-perfecting-2-bha-liquid-exfoliator,published,5,Long time favourite,Natalie,,"I have been using this for more than 3 years and is very happy with this product. 
Used to struggle with flaky skin and clogged pores. It has visibly improved my skin after use. 
Love it! ",,2018-01-23 03:16:38 UTC,
clear-extra-strength-daily-skin-clearing-treatment-with-5-benzoyl-peroxide,published,5,would buy again,Natalie,,I'm impressed! Works really well to subside those pimples. Would stings the skin a little initially but doesn't cause much of an issue apart from that. Recommends for stubborn pimples.,,2018-01-23 03:20:23 UTC,
skin-balancing-pore-reducing-toner,published,4,Very Good Toner ,HNIN THIRI AUNG,,"I like this Paula's Choice Skin Balancing Toner very much. After using one bottle, pores on my nose are obviously minimized. <3",,2018-01-24 07:51:44 UTC,
skin-balancing-invisible-finish-moisture-gel,published,5,Best day time moisturizer,Alicia,,Been using this product for years! Dries to a nice healthy finish. I also love the convenient and hygienic squeeze tube packaging.,,2018-01-26 16:18:10 UTC,
skin-balancing-oil-reducing-cleanser,published,5,Value for money,Alicia,,"Not overly drying, leaving skin feeling clean and well balanced",,2018-01-26 16:19:49 UTC,
resist-super-antioxidant-concentrate-serum,published,5,Cannot live without this,Alicia,,"Improved my complexion. May be a bit heavy when first applied, so try to apply when your face is still damp",,2018-01-26 16:22:52 UTC,
resist-ultra-light-super-antioxidant-concentrate-serum,published,5,Nice texture,Alicia,,Liquidy texture means it's very easy to apply and very fast to absorb,,2018-01-26 16:23:56 UTC,
earth-sourced-perfectly-natural-cleansing-gel,published,5,Fuss free,R X,,The gel melts into an easy to spread and light lather. I use twice when I have make up on. Bought many bottles at a go and no complaints. I even used it as a shower gel for my kids.,,2018-01-27 02:20:23 UTC,
skin-recovery-hydrating-treatment-mask,published,5,Holy grail mask!!,Yvonne,,"My go-to product when I feel that my skin needs a bit extra care after a long day in the sun or cold weather, I use it as a leave on mask/moisturizer, and I never failed to notice the glow coming back the next morning, will always have a bottle standby at home. ",,2018-01-27 03:48:49 UTC,
skin-balancing-oil-reducing-cleanser,published,4,Effective cleanser,Kym,,"Cleanse effectively without dehydration.

Good combination with it's toner.",,2018-01-27 05:43:01 UTC,
extra-care-non-greasy-sunscreen-spf50,published,4,Good sunblock,Kym,,Non greasy. Good for outdoor.,,2018-01-27 05:54:55 UTC,
earth-sourced-antioxidant-enriched-natural-moisturizer,published,5,Buying again,R X,,The texture is fluid and refreshing. The afterfeel is silky smooth! I apply it when I need hydration without the oiliness. My skin is extremely temperamental and this product never fails to calm it down.,,2018-01-27 15:39:44 UTC,
resist-weekly-resurfacing-treatment-10-aha,published,4,Efficient and effective ,Valerie,,"When first use, it's a little stingy, however effects can be seen after first use. Skin is left smoother and softer. Just have to let the skin get used to it after some time ",,2018-01-28 07:27:57 UTC,
radiance-renewal-whitening-mask,published,4,Love it ,Gg,,I have oily and combination skin. My skin feels soft and supple and long as oily the next morning waking up with this on. ,,2018-01-31 00:56:08 UTC,
pc4men-lip-balm-spf-50,published,3,it is what it is,k,,it felt like any other lip balm i've used,,2018-02-02 12:45:54 UTC,
pc4men-kit,published,5,comprehensive,k,,"a good comprehensive kit. i personally liked the shaving cream, sooth + smooth and the night time repair!",,2018-02-02 12:47:40 UTC,
extra-care-non-greasy-sunscreen-spf50,published,5,A great everyday sun-block if you work outdoors!,Abigail,,"This is the only sunblock I've used that never makes me break out! Its super breathable and non greasy, and the texture is similar to a light moisturizer- great for sensitive skin. It also works well under make up, and helps the foundation last longer. You get A LOT of sunscreen for a  good price; the tube lasts me for 6-8 months of daily usage! I rarely ever go out without this sunblock; its a staple product in my morning regimen, and I'm loving it!",,2018-02-03 08:56:28 UTC,
resist-10-niacinamide-booster,published,5,Expensive but worth it!,A,,"A lightweight serum, absorbs in by my oil skin within seconds.
Minimises pores and help a little in control oil. But the most obvious benefit is the brightening of the complexion!
Expensive, but really worth every penny!",,2018-02-03 14:05:16 UTC,
resist-daily-pore-refining-treatment-with-2-bha,published,5,Helps to keep my pores clear!,A,,"This is lightweight on my oily skin.
TOgether with a AHA, it helps to keep my pores clear. Minimises enlarged pores to a certain extend.",,2018-02-03 14:08:21 UTC,
all-over-hair-body-shampoo,published,5,My favorite!!!,Mei,,I’ve been struggling to find a fragrance free shampoo for ages! Thank goodness for Paula’s Choice! This shampoo/body wash cleanses my scalp brilliantly without stripping my hair. Its also a great body wash because its a product made with such a clean formula. I’ve stocked up since i discovered this :),,2018-02-08 05:58:15 UTC,
radiance-renewal-whitening-mask,published,4,Lovely overnight mask/moisturizer,Mei,,"I love the moisturizing texture of this product. It not greasy nor heavy but feels very nourishing and moisturizing. I use it even on my eye area, at twice weekly or on the days i use retinol. I feel it soothes as retinol can be alittle strong/ irritating. ",,2018-02-08 06:03:56 UTC,
clear-extra-strength-anti-redness-exfoliating-solution,published,5,Blackheads gone!,ELY,,"I have combination skin and have been struggling with blackheads for some time. Nothing seemed to work from clay masks, to pore strips. This product was gentle, yet extremely effective! I saw a major difference in just a few days and my blackheads have mostly disappeared. It has become a staple in my morning and night routine and I can’t do without it now! Thanks so much PC!",,2018-02-08 12:27:24 UTC,
resist-barrier-repair-moisturizer-with-retinol,published,5,No grey or white cast!,Y,,I love that the texture of this moisturizer with SPF leaves no white or grey residue. It has an amazing consistency and layers well with my makeup. ,,2018-02-08 12:32:28 UTC,
resist-advanced-replenishing-toner,published,5,Great texture,EL,,"After not using a toner for a long time, I decided to give this a try... And i’ve not regretted since! It’s got a light but not too watery texture and is very moisturizing. ",,2018-02-08 12:38:56 UTC,
resist-c15-super-booster,published,4,Light watery texture,Yang,,Helped to lighten some sun spots. Use it with the Resist serum day and night. Waiting to see a more obvious brightening effect. ,,2018-02-08 13:59:49 UTC,
resist-ultra-light-super-antioxidant-concentrate-serum,published,5,Silky consistency,Yel ,,This helped to refine the texture of my skin. Amazing product!,,2018-02-08 14:03:10 UTC,
resist-anti-aging-eye-gel,published,4,Gentle on the skin,EL,,Gel texture was great to use in the morning and night. Works well under make up and concealer too. ,,2018-02-08 14:05:43 UTC,
resist-vitamin-c-spot-treatment,published,4,Faded dark spots ,Cassidy,,Got this in sample size together with the Brightening Trio pack. Faded a new acne scar almost overnight. But takes longer to see a visible effect for older sun spots and pigmentation. Will keep applying. ,,2018-02-08 14:09:21 UTC,
resist-anti-aging-clear-skin-hydrator,published,5,Highly recommended ,Sally,,Smoothed and refined my skin tone. Effects can be seen just after a few days. Highly recommended. ,,2018-02-08 14:12:42 UTC,
resist-daily-mattifying-fluid-spf50,published,5,Great SPF for oily skin ,YL,,This was a little too thin for my combination skin. Texture is lightweight and a little watery. Felt my cheeks needed more hydration especially with the AC in the office. Worked better when I applied a layer of moisturizer first. Great for those with oily skin overall. Does not clog pores. ,,2018-02-08 14:19:49 UTC,
resist-skin-restoring-moisturizer-spf-50,published,5,Best SPF ever!,EL,,"I’ve tried many different brands of SPF and this is the best hands down. It’s very moisturizing on my combination skin and doesn’t break me out. Most importantly, it doesn’t leave the unsightly grey/white cast on my skin. Love this!",,2018-02-08 14:25:33 UTC,
resist-moisture-renewal-oil-booster,published,5,Dewy skin,C,,This is perfect when I need a boost of hydration. Leaves my skin dewy and healthy looking. Will recommend to my friends. ,,2018-02-08 14:29:29 UTC,
skin-balancing-oil-reducing-cleanser,published,5,Cleanser of choice,Hafizah,,"My night time cleanser, removes make up/sunscreen and fragance free been using this for years. I always get the big bottle lasts for ages and good value for money. Doesnt irritate or strip skin.",,2018-02-09 07:57:36 UTC,
resist-vitamin-c-spot-treatment,published,4,Brightening,Hafizah,,Helped brighten some stubborn spots over 3months but you need to be consistent with sunscreen. Heavy silicone based treatment so you really only need to tap a small amount over. Doesnt sit undermakeup well will pill if you rub so used at night. Helps control oils if used in am without makeup ,,2018-02-09 08:02:48 UTC,
resist-optimal-results-hydrating-cleanser,published,5,Favourite morning cleanser,Hafizah,,The best morning cleanser ive tried. Not great at removing makeup so use it am. Does not strip skin and leaves a lovely plumped feeling on skin. Love it,,2018-02-09 08:05:28 UTC,
clear-pore-normalizing-cleanser,published,4,Good for oily teens,Hafizah,,Prefer the resist cleanser in the am this is a little stripping and not great at removing makeup. However contains panthenol and 0.5% Salicylic so good for a pm 2nd cleanse to prevent pimples. Gave it to my son works well for his oily skin and preventing pimples on his forehead.,,2018-02-09 08:11:11 UTC,
perfect-cleansing-oil,published,3,Good makeup remover,Hafizah,,Fragrance free and a blend of great oils. However all of it gets washed off if you second cleanse so cant recommend the high price.,,2018-02-09 08:14:05 UTC,
resist-foaming-cleanser,published,3,Okay cleanser,Hafizah,,Would recommened the resist hydrating cleanser over this. Skin balancing cleanser is a better value for money and i feel works similar to this.,,2018-02-09 08:20:49 UTC,
resist-advanced-replenishing-toner,published,5,Great moisturizer for oily skins,Hafizah,,Love the ingredients. I use this in place of a moisturizer for oily skin. Lotions dont sit well on my skin and feel too sticky. This absorbs well and hydrates. A staple in my skincare routine,,2018-02-09 08:25:11 UTC,
resist-pure-radiance-skin-brightening-treatment,published,5,Great primer,Hafizah,,I use it as a primer. Contains mica pigments which impart a slight glow on skin. Love the ceramides in it and sits under makeup well. ,,2018-02-09 08:29:27 UTC,
skin-perfecting-2-bha-liquid-exfoliator,published,5,helped with my acne,ZW,,"I've had minimal breakouts or comedones since using this product (+ differin gel). Skin's even clearer than when I was on isotretinoin 5mg/day. Non irritating to skin. Have been using for 3 months now, just repurchased.",,2018-02-10 02:09:48 UTC,
